41.696707,-72.755959,13.7,1.53,0.039,0,*
41.696691,-72.755879,16,2.667,0.785,1,*
41.696678,-72.755803,14.1,1.844,0.863,2,*
41.696668,-72.75574,11.6,2.393,0.549,3,*
41.696659,-72.75569,8.7,1.961,0.157,4,*
41.696651,-72.755657,5.3,1.491,-0.157,5,*
41.696818,-72.755381,12,1.844,-0.471,6,Hard Acceleration
41.696868,-72.755358,12.2,2.667,-0.314,7,*
41.696916,-72.75532,14.3,2.432,-0.078,8,*
41.696973,-72.755285,16,1.844,-1.294,9,*
41.697039,-72.755253,17.4,0.078,-0.941,10,*
41.697096,-72.755216,15.5,0.588,-0.471,11,*
41.69714,-72.75518,12.1,0.51,-0.824,12,*
41.697178,-72.755156,9.8,-0.196,-0.628,13,*
41.697207,-72.755129,8.1,0.431,-0.628,14,*
41.697226,-72.755124,4.8,0.706,-0.745,15,*
41.697242,-72.75511,4.6,2.667,-0.588,16,*
41.697266,-72.755118,5.2,2.942,-0.275,17,*
41.697294,-72.755103,7.5,2.903,-0.588,18,*
41.69733,-72.755092,9.9,2.981,-0.471,19,*
41.697377,-72.755084,11.6,2.511,-0.902,20,*
41.697432,-72.755068,13.8,2.628,-0.902,21,*
41.697497,-72.755042,16.6,2.001,-0.863,22,*
41.697563,-72.75502,17,1.726,-0.902,23,*
41.697625,-72.754993,16.5,1.53,-0.745,24,*
41.697686,-72.754966,16.1,1.216,-0.745,25,*
41.697749,-72.754957,15.3,0.471,-0.863,26,*
41.697817,-72.754952,16.3,0.353,-1.098,27,*
41.697866,-72.75493,13,-0.118,-0.706,28,*
41.697902,-72.754909,9.9,-0.667,-0.981,29,*
41.697923,-72.754898,6,0.157,-0.785,30,*
41.697943,-72.754909,5.3,1.726,-0.745,31,*
41.697949,-72.754917,3.3,2.707,-0.235,32,*
41.697949,-72.754916,0.8,2.746,0.431,33,*
41.697961,-72.754914,3.8,3.099,1.294,34,*
41.697982,-72.75494,5.2,1.765,2.079,35,*
41.697995,-72.754957,7.6,2.236,0.471,36,*
41.697997,-72.755005,9.3,2.314,-0.314,37,*
41.697988,-72.755055,10.6,2.314,-0.235,38,*
41.697978,-72.755116,11.4,1.844,-1.098,39,*
41.697963,-72.75518,12.4,2.432,-0.235,40,*
41.697947,-72.755244,12.6,1.844,-0.628,41,*
41.697932,-72.755307,12.1,1.961,-0.196,42,*
41.697922,-72.755367,12.2,2.314,-0.549,43,*
41.697913,-72.755454,14.3,2.236,-0.667,44,*
41.697907,-72.755544,15.7,1.804,-0.785,45,*
41.697903,-72.755642,17.2,1.373,-0.941,46,*
41.697892,-72.755736,17.3,1.216,-0.392,47,*
41.697885,-72.755842,18.3,0.902,0,48,*
41.697878,-72.75594,18.1,0.353,0.902,49,*
41.697867,-72.756028,17,0.941,1.412,50,*
41.697843,-72.756102,15.3,1.961,0.353,51,*
41.69782,-72.75616,13,2.354,0.157,52,*
41.697793,-72.756211,11.9,3.06,-0.353,53,*
41.697747,-72.756254,12.1,1.608,-0.706,54,*
41.697709,-72.756293,11.4,1.098,-0.902,55,*
41.69764,-72.756311,12.2,1.02,-0.118,56,*
41.697583,-72.756325,12.7,1.255,0.941,57,*
41.697538,-72.756338,11.7,0.549,1.294,58,*
41.69748,-72.756341,12.5,0.706,-0.118,59,*
41.697429,-72.756319,11.8,0.785,-1.569,60,*
41.697401,-72.756298,10.3,0.785,-2.785,61,*
41.697376,-72.756279,9.1,0.157,-1.177,62,*
41.697348,-72.756268,8.4,0.392,-0.471,63,*
41.697324,-72.756263,7.2,1.844,-0.706,64,*
41.697315,-72.756265,4.7,3.373,-1.02,65,*
41.697311,-72.756266,3.1,2.667,-0.981,66,*
41.697302,-72.75627,2.9,2.471,-2.001,67,*
41.697289,-72.756281,3.3,1.804,-1.844,68,*
41.697271,-72.756286,3.8,2.118,-1.687,69,*
41.69725,-72.756315,5.6,1.53,-0.902,70,*
41.697244,-72.756348,5.4,2.118,-0.275,71,*
41.697243,-72.756385,5.7,1.844,-0.392,72,*
41.697243,-72.756413,5.3,1.255,-0.706,73,*
41.697241,-72.756441,5.1,1.608,-0.353,74,*
41.69724,-72.756465,4.5,1.726,-0.275,75,*
41.697245,-72.756473,2.7,2.236,-0.353,76,*
41.697248,-72.756483,1.9,2.942,-0.157,77,*
41.697249,-72.756491,1.5,3.06,-0.235,78,*
41.697257,-72.756509,3.1,3.766,-1.255,79,*
